
[Thu May 29 22:33:28.709625 2014] [:error] [pid 23339] [client 127.0.0.1:36985] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Thu May 29 22:34:35.401615 2014] [:error] [pid 23337] [client 127.0.0.1:36987] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:19:18.746115 2014] [:error] [pid 6993] [client 127.0.0.1:41049] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:45:22.071382 2014] [:error] [pid 6997] [client 127.0.0.1:41695] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:45:33.581695 2014] [:error] [pid 6993] [client 127.0.0.1:41700] PHP Parse error:  syntax error, unexpected '[', expecting ',' or ';' in /home/jared/classes/cs275-spring/project/html/user_home.html on line 8, referer: http://localhost/html/new_user.html
[Sat May 31 14:45:57.854787 2014] [:error] [pid 6994] [client 127.0.0.1:41701] PHP Notice:  Undefined variable: _SESSION in /home/jared/classes/cs275-spring/project/html/user_home.html on line 8, referer: http://localhost/html/new_user.html
[Sat May 31 14:46:08.243497 2014] [:error] [pid 6995] [client 127.0.0.1:41702] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:47:46.672936 2014] [:error] [pid 6997] [client 127.0.0.1:41708] PHP Parse error:  syntax error, unexpected ''"'' (T_CONSTANT_ENCAPSED_STRING) in /home/jared/classes/cs275-spring/project/php/user.php on line 7, referer: http://localhost/
[Sat May 31 14:48:23.410446 2014] [:error] [pid 6993] [client 127.0.0.1:41711] PHP Notice:  Undefined variable: _SESSION in /home/jared/classes/cs275-spring/project/html/user_home.html on line 8, referer: http://localhost/
[Sat May 31 14:49:17.835588 2014] [:error] [pid 6995] [client 127.0.0.1:41739] PHP Notice:  Undefined index: wallet_amt in /home/jared/classes/cs275-spring/project/html/user_home.html on line 12
[Sat May 31 14:51:17.460559 2014] [:error] [pid 6997] [client 127.0.0.1:41814] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:51:23.446362 2014] [:error] [pid 7358] [client 127.0.0.1:41815] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:21.318553 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:22.647327 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:23.302817 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:23.458872 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:23.614210 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
[Sat May 31 14:53:26.105891 2014] [:error] [pid 6993] [client 127.0.0.1:41881] PHP Notice:  Undefined index: user_login_fail in /home/jared/classes/cs275-spring/project/html/index.html on line 21
[Sat May 31 14:53:32.293360 2014] [:error] [pid 6994] [client 127.0.0.1:41882] PHP Notice:  A session had already been started - ignoring session_start() in /home/jared/classes/cs275-spring/project/html/user_home.html on line 2, referer: http://localhost/
